ccode,year,cap,majpow,imports,exports,polity
 267,1827,0.002638,0,-9,-9,  -7
 269,1827,0.002953,0,-9,-9, -10
 271,1827,0.002538,0,-9,-9,  -4
 273,1827,0.001568,0,-9,-9, -99
 275,1827,0.001694,0,-9,-9, -99
 300,1827,0.087246,1,-9,-9, -10
 325,1827,0.012421,0,-9,-9, -10
 327,1827,0.008179,0,-9,-9,  -9
 329,1827,0.026907,0,-9,-9, -10
 337,1827,0.002045,0,-9,-9, -10
 365,1827,0.159398,1,-9,-9, -10
 380,1827,0.014777,0,-9,-9,  -8
 390,1827,0.008212,0,-9,-9, -10
 616,1827,0.004086,0,-9,-9, -99
 640,1827,0.063349,0,-9,-9, -10
   2,1828,0.035688,0,-9,-9,   9
 140,1828,0.005705,0,-9,-9,  -6
 200,1828,0.326933,1,-9,-9,  -2
 210,1828,0.037569,0,-9,-9,  -6
 220,1828,0.143719,1,-9,-9,  -4
 225,1828,0.001651,0,-9,-9, -99
 230,1828,0.028379,0,-9,-9,  -6
 235,1828,0.011394,0,-9,-9,  -3
 245,1828,0.010837,0,-9,-9,  -9
 255,1828,0.048526,1,-9,-9, -10
 267,1828,0.002622,0,-9,-9,  -7
 269,1828,0.002940,0,-9,-9, -10
 271,1828,0.002422,0,-9,-9,  -4
 273,1828,0.001553,0,-9,-9, -99
 275,1828,0.001684,0,-9,-9, -99
 300,1828,0.087373,1,-9,-9, -10
 325,1828,0.012856,0,-9,-9, -10
 327,1828,0.007957,0,-9,-9,  -9
 329,1828,0.026307,0,-9,-9, -10
 337,1828,0.002033,0,-9,-9, -10
 350,1828,0.001100,0,-9,-9,  -5
 365,1828,0.152565,1,-9,-9, -10
 380,1828,0.016200,0,-9,-9,  -8
 390,1828,0.008191,0,-9,-9, -10
 616,1828,0.004030,0,-9,-9, -99
 640,1828,0.056853,0,-9,-9, -10
   2,1829,0.037482,0,-9,-9,   9
 140,1829,0.005650,0,-9,-9,  -6
 200,1829,0.323044,1,-9,-9,  -2
 210,1829,0.037108,0,-9,-9,  -6
 220,1829,0.136112,1,-9,-9,  -4
 225,1829,0.001643,0,-9,-9, -99
 230,1829,0.033772,0,-9,-9,  -6
 235,1829,0.011171,0,-9,-9,  -3
 245,1829,0.007437,0,-9,-9,  -9
 255,1829,0.047125,1,-9,-9, -10
 267,1829,0.002557,0,-9,-9,  -7
 269,1829,0.002872,0,-9,-9, -10
 271,1829,0.002345,0,-9,-9,  -4
 273,1829,0.001510,0,-9,-9, -99
 275,1829,0.001640,0,-9,-9, -99
 300,1829,0.086052,1,-9,-9, -10
 325,1829,0.012716,0,-9,-9, -10
 327,1829,0.007831,0,-9,-9,  -9
 329,1829,0.026182,0,-9,-9, -10
 337,1829,0.001974,0,-9,-9, -10
 350,1829,0.001076,0,-9,-9,  -5
 365,1829,0.165360,1,-9,-9, -10
 380,1829,0.014606,0,-9,-9,  -8
 390,1829,0.008014,0,-9,-9, -10
 616,1829,0.003924,0,-9,-9, -99
 640,1829,0.056179,0,-9,-9, -10
   2,1830,0.038484,0,-9,-9,   9
 140,1830,0.005489,0,-9,-9,  -6
 200,1830,0.305597,1,-9,-9,  -2
 210,1830,0.033644,0,-9,-9,  -6
 211,1830,0.037565,0,-9,-9,  -4
 220,1830,0.140124,1,-9,-9,  -1
 225,1830,0.001610,0,-9,-9, -99
 230,1830,0.025803,0,-9,-9,  -6
 235,1830,0.010698,0,-9,-9,  -3
 245,1830,0.009890,0,-9,-9,  -9
 255,1830,0.045426,1,-9,-9, -10
 267,1830,0.002436,0,-9,-9,  -7
 269,1830,0.003111,0,-9,-9, -10
 271,1830,0.002258,0,-9,-9,  -4
 273,1830,0.001457,0,-9,-9, -99
 275,1830,0.001560,0,-9,-9, -99
 300,1830,0.079436,1,-9,-9, -10
 325,1830,0.012335,0,-9,-9, -10
 327,1830,0.007577,0,-9,-9,  -9
 329,1830,0.025305,0,-9,-9, -10
 337,1830,0.001897,0,-9,-9, -10
 350,1830,0.001031,0,-9,-9,  -4
 365,1830,0.157253,1,-9,-9, -10
 380,1830,0.014511,0,-9,-9,  -8
 390,1830,0.007657,0,-9,-9, -10
 616,1830,0.003758,0,-9,-9, -99
 640,1830,0.054353,0,-9,-9, -10
   2,1831,0.042001,0,-9,-9,   9
  70,1831,0.009452,0,-9,-9,  -1
 100,1831,0.001372,0,-9,-9, -99
 140,1831,0.005284,0,-9,-9,  -6
 200,1831,0.298910,1,-9,-9,  -2
 210,1831,0.022987,0,-9,-9,  -6
 211,1831,0.035279,0,-9,-9,  -4
 220,1831,0.149950,1,-9,-9,  -1
 225,1831,0.001573,0,-9,-9, -99
 230,1831,0.025928,0,-9,-9,  -6
 235,1831,0.010357,0,-9,-9,  -3
 245,1831,0.009044,0,-9,-9,  -9
 255,1831,0.047165,1,-9,-9, -10
 267,1831,0.002177,0,-9,-9,  -7
 269,1831,0.002819,0,-9,-9,  -7
 271,1831,0.002088,0,-9,-9,  -4
 273,1831,0.001354,0,-9,-9, -99
 275,1831,0.001455,0,-9,-9, -99
 300,1831,0.084744,1,-9,-9, -10
 325,1831,0.012592,0,-9,-9, -10
 327,1831,0.007411,0,-9,-9,  -9
 329,1831,0.024537,0,-9,-9, -10
 337,1831,0.001741,0,-9,-9, -10
 350,1831,0.000969,0,-9,-9,  -4
 365,1831,0.150046,1,-9,-9, -10
 380,1831,0.016420,0,-9,-9,  -8
 390,1831,0.007281,0,-9,-9, -10
 616,1831,0.003636,0,-9,-9, -99
 640,1831,0.052813,0,-9,-9, -10
   2,1832,0.044545,0,-9,-9,   9
  70,1832,0.009631,0,-9,-9,  -1
 100,1832,0.001405,0,-9,-9,   2
 140,1832,0.007383,0,-9,-9,  -6
 200,1832,0.300770,1,-9,-9,  -2
 210,1832,0.021561,0,-9,-9,  -6
 211,1832,0.035414,0,-9,-9,  -4
 220,1832,0.141528,1,-9,-9,  -1
 225,1832,0.001569,0,-9,-9, -99
 230,1832,0.024466,0,-9,-9,  -6
 235,1832,0.011588,0,-9,-9,  -3
 245,1832,0.006626,0,-9,-9,  -9
 255,1832,0.048634,1,-9,-9, -10
 267,1832,0.002279,0,-9,-9,  -7
 269,1832,0.003023,0,-9,-9,  -7
 271,1832,0.002115,0,-9,-9,  -4
 273,1832,0.001434,0,-9,-9, -99
 275,1832,0.001534,0,-9,-9, -99
 300,1832,0.083549,1,-9,-9, -10
 325,1832,0.012531,0,-9,-9, -10
 327,1832,0.007655,0,-9,-9,  -9
 329,1832,0.024847,0,-9,-9, -10
 337,1832,0.001762,0,-9,-9, -10
 350,1832,0.001266,0,-9,-9,  -4
 365,1832,0.157020,1,-9,-9, -10
 380,1832,0.015919,0,-9,-9,  -8
 390,1832,0.007599,0,-9,-9, -10
 616,1832,0.003679,0,-9,-9, -99
 640,1832,0.053635,0,-9,-9, -10
   2,1833,0.048138,0,-9,-9,   9
  70,1833,0.009579,0,-9,-9,  -1
 100,1833,0.001410,0,-9,-9,   2
 140,1833,0.007754,0,-9,-9,  -6
 200,1833,0.303456,1,-9,-9,  -2
 210,1833,0.019783,0,-9,-9,  -6
 211,1833,0.031753,0,-9,-9,  -4
 220,1833,0.138567,1,-9,-9,  -1
 225,1833,0.001566,0,-9,-9, -99
 230,1833,0.023139,0,-9,-9,  -6
 235,1833,0.011479,0,-9,-9, -88
 245,1833,0.006668,0,-9,-9,  -9
 255,1833,0.049289,1,-9,-9, -10
 267,1833,0.002257,0,-9,-9,  -7
 269,1833,0.003027,0,-9,-9,  -7
 271,1833,0.002265,0,-9,-9,  -4
 273,1833,0.001438,0,-9,-9, -99
 275,1833,0.001415,0,-9,-9, -99
 300,1833,0.082786,1,-9,-9, -10
 325,1833,0.012618,0,-9,-9, -10
 327,1833,0.007815,0,-9,-9,  -9
 329,1833,0.024680,0,-9,-9, -10
 337,1833,0.001790,0,-9,-9, -10
 350,1833,0.001340,0,-9,-9,  -3
 365,1833,0.157324,1,-9,-9, -10
 380,1833,0.016535,0,-9,-9,  -8
 390,1833,0.007566,0,-9,-9, -10
 616,1833,0.003617,0,-9,-9, -99
 640,1833,0.053258,0,-9,-9, -10
   2,1834,0.047773,0,-9,-9,   9
  70,1834,0.009711,0,-9,-9, -88
 100,1834,0.001436,0,-9,-9,   2
 140,1834,0.007345,0,-9,-9,  -6
 200,1834,0.304854,1,-9,-9,  -2
 210,1834,0.018130,0,-9,-9,  -6
 211,1834,0.029565,0,-9,-9,  -4
 220,1834,0.137249,1,-9,-9,  -1
 225,1834,0.001558,0,-9,-9, -99
 230,1834,0.027768,0,-9,-9,  -6
 235,1834,0.011744,0,-9,-9,  -4
 245,1834,0.006723,0,-9,-9,  -9
 255,1834,0.050329,1,-9,-9, -10
 267,1834,0.002339,0,-9,-9,  -7
 269,1834,0.003225,0,-9,-9,  -7
 271,1834,0.003379,0,-9,-9,  -4
 273,1834,0.001600,0,-9,-9, -99
 275,1834,0.001469,0,-9,-9, -99
 300,1834,0.086031,1,-9,-9, -10
 325,1834,0.013354,0,-9,-9, -10
 327,1834,0.008071,0,-9,-9,  -9
 329,1834,0.024701,0,-9,-9, -10
 337,1834,0.001827,0,-9,-9, -10
 350,1834,0.001576,0,-9,-9,  -3
 365,1834,0.153988,1,-9,-9, -10
 380,1834,0.014290,0,-9,-9,  -8
 390,1834,0.007085,0,-9,-9,  -9
 616,1834,0.003623,0,-9,-9, -99
 640,1834,0.053834,0,-9,-9, -10
   2,1835,0.048520,0,-9,-9,   9
  70,1835,0.009803,0,-9,-9,  -3
 100,1835,0.001459,0,-9,-9,   2
 140,1835,0.007222,0,-9,-9,  -6
 200,1835,0.305150,1,-9,-9,  -2
 210,1835,0.015907,0,-9,-9,  -6
 211,1835,0.029869,0,-9,-9,  -4
 220,1835,0.136413,1,-9,-9,  -1
 225,1835,0.001549,0,-9,-9, -99
 230,1835,0.028092,0,-9,-9,  -6
 235,1835,0.014059,0,-9,-9,  -4
 245,1835,0.006546,0,-9,-9,  -9
 255,1835,0.049377,1,-9,-9, -10
 267,1835,0.003576,0,-9,-9,  -7
 269,1835,0.003280,0,-9,-9,  -7
 271,1835,0.003276,0,-9,-9,  -4
 273,1835,0.001611,0,-9,-9, -99
 275,1835,0.001388,0,-9,-9, -99
 300,1835,0.084155,1,-9,-9, -10
 325,1835,0.013804,0,-9,-9, -10
 327,1835,0.008111,0,-9,-9,  -9
 329,1835,0.024782,0,-9,-9, -10
 337,1835,0.001829,0,-9,-9, -10
 350,1835,0.001729,0,-9,-9,  -3
 365,1835,0.151466,1,-9,-9, -10
 380,1835,0.013142,0,-9,-9,  -8
 390,1835,0.007594,0,-9,-9,  -9
 616,1835,0.003615,0,-9,-9, -99
 640,1835,0.054226,0,-9,-9, -10
   2,1836,0.050953,0,-9,-9,   9
  70,1836,0.009414,0,-9,-9,  -3
